사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Aug-21,2호선,46,영등포구청,43,0,"5,106","2,934","10,921","12,449","32,538","32,778","39,427","106,126","26,202","48,867","20,689","23,770","21,205","19,602","21,956","20,915","22,268","22,696","23,399","21,197","25,410","21,484","30,654","22,889","48,268","27,895","91,651","44,717","31,922","28,838","20,966","16,797","19,575","16,125","11,188","12,543","2,507","5,768",2,75,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,47,당산,36,1,"5,898","2,989","13,961","11,089","39,038","24,673","45,744","61,953","27,784","31,834","18,679","16,355","18,303","15,236","18,895","16,580","18,470","17,988","17,432","17,792","18,309","20,282","20,297","23,821","32,216","36,000","50,403","62,192","22,614","40,594","16,816","25,357","17,025","24,595","11,786","18,866","2,580","7,776",1,108,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,48,합정,32,3,"6,340","2,628","14,894","12,862","36,746","28,092","46,720","77,821","31,720","67,555","21,936","38,648","23,169","39,037","27,554","43,482","30,863","45,522","33,436","42,882","35,937","40,376","42,216","43,017","62,081","56,671","98,213","80,904","64,594","51,288","49,814","26,970","54,133","24,131","37,544","18,752","7,242","8,659",3,234,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,49,홍대입구,178,6,"9,564","2,733","17,628","12,755","47,758","28,011","61,404","80,466","40,498","91,605","30,105","66,092","35,379","77,564","44,868","99,917","51,960","102,479","56,993","97,031","69,241","92,354","86,259","91,421","117,422","101,545","147,714","131,248","106,107","83,198","104,619","41,114","125,516","32,325","83,053","27,180","11,607","13,219",58,"1,189",1,1,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,50,신촌,23,2,"4,511","2,414","10,990","15,392","27,931","31,223","39,520","66,470","28,493","74,378","27,996","47,304","34,576","45,464","41,333","50,083","41,882","56,777","43,847","46,927","50,280","44,124","60,827","44,263","76,075","53,750","75,833","76,550","49,507","48,143","51,696","25,777","53,911","24,030","39,095","19,120","6,083","8,528",0,4,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,51,이대,27,0,"2,625",760,"6,826","7,660","19,762","9,440","26,373","25,573","15,428","23,339","12,053","16,686","12,853","14,211","15,956","16,561","16,577","18,450","15,173","15,820","17,476","16,084","21,586","16,470","27,773","21,266","26,530","32,592","15,446","23,811","12,581","13,596","12,060","14,293","8,554","12,120","1,920","5,610",1,4,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,52,아현,25,0,"3,890",978,"9,412","7,109","23,022","9,727","30,940","17,569","18,960","11,869","13,798","8,916","13,288","8,608","13,761","9,825","12,972","10,330","12,004","10,760","13,264","12,678","18,475","13,859","15,752","19,637","15,803","29,238","9,630","21,356","6,589","13,294","5,338","12,985","3,498","10,536",849,"3,756",0,4,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,53,충정로(경기대입구),31,0,"2,852",910,"5,620","5,929","12,752","16,346","17,762","49,270","12,394","21,595","9,121","10,271","9,829","8,419","10,072","8,558","9,868","8,921","10,475","8,345","11,211","8,897","12,758","9,596","20,240","12,391","40,407","18,142","11,841","12,529","7,324","7,705","6,314","7,971","3,724","6,387",645,"2,445",1,57,0,0,0,1,0,0,2021-09-03 10:03
Aug-21,2호선,54,용답,14,0,"2,465",225,"3,037",891,"6,282","1,444","10,376","2,716","5,919","1,942","3,792","1,817","3,413","2,213","3,495","2,578","3,424","2,592","3,221","2,753","3,161","3,705","3,474","4,688","3,426","5,508","3,144","9,375","1,845","6,128","1,235","3,869","1,002","5,147",866,"4,076",254,"1,559",0,5,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,55,신답,11,3,988,145,"1,681",506,"5,269",761,"8,271","1,398","3,505",844,"1,889",897,"1,796","1,104","1,647","1,279","1,645","1,346","1,578","1,548","1,346","2,147","1,371","2,798","1,492","3,879","1,735","9,010",820,"6,154",489,"2,947",465,"2,764",351,"2,224",77,921,0,4,0,0,0,0,0,0,2021-09-03 10:03
