사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Aug-21,2호선,56,신설동,24,1,"1,094",230,"1,082","2,005","3,015","4,816","5,220","10,572","3,392","6,621","3,466","5,401","4,287","5,959","5,175","5,743","5,738","5,443","6,069","4,954","6,612","4,647","6,918","3,899","9,356","4,152","9,437","4,977","3,664","3,312","2,281","2,077","1,827","1,815","1,249","1,467",296,720,2,98,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,57,도림천,3,0,260,338,"1,105",793,"2,723","3,156","2,757","5,135","1,834","1,863","1,799","1,362","1,403","1,096","2,217","1,640","1,447","1,149","1,927","1,503","1,800","1,255","2,351","1,657","2,503","2,087","3,429","2,561","1,798","2,142",738,"1,306",637,"1,240",314,994,133,464,0,20,0,1,0,1,0,0,2021-09-03 10:03
Aug-21,2호선,58,양천구청,40,0,"4,223",839,"9,645","1,893","25,756","4,598","23,702","8,326","12,957","4,098","8,843","3,864","7,889","4,482","8,681","5,637","7,508","5,964","6,210","6,304","5,969","7,823","6,386","9,888","6,800","14,796","7,229","25,909","3,382","22,350","2,160","11,573","1,915","10,617","1,861","8,718",334,"3,724",3,259,0,0,1,0,0,0,2021-09-03 10:03
Aug-21,2호선,59,신정네거리,42,2,"7,865",780,"14,480","3,085","39,788","4,938","36,112","10,751","19,840","7,550","14,386","6,871","12,624","7,823","13,001","8,989","11,977","10,113","10,279","10,655","9,801","13,567","10,185","16,246","10,565","23,614","10,133","41,913","6,110","32,205","4,670","16,741","3,621","14,568","2,640","12,706",538,"5,211",4,322,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,60,용두(동대문구청),30,0,"1,244",187,"1,593",854,"4,312","2,359","7,031","5,813","3,930","2,941","3,169","2,872","3,434","2,980","3,423","2,632","3,432","3,045","3,249","3,199","3,475","3,724","3,501","3,684","3,953","3,982","5,165","6,804","2,016","4,785","1,261","2,474","1,254","2,439",526,"1,701",109,676,0,13,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,61,지축,10,1,"1,702","1,101","6,548","5,409","16,708","3,447","16,357","3,398","7,873","2,791","5,789","2,420","4,928","3,244","5,025","3,424","4,821","3,356","4,384","3,627","5,205","4,361","7,232","5,946","5,826","7,480","4,157","15,750","2,234","12,629","1,363","7,522",876,"6,813",795,"5,864",239,"1,639",0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,62,구파발,194,4,"8,980","1,597","24,785","9,829","69,553","19,756","63,494","26,116","35,026","24,102","24,498","22,569","24,520","20,559","25,813","21,485","23,111","22,813","22,978","23,414","26,476","23,210","29,221","26,479","30,380","34,332","26,856","60,554","16,141","50,367","13,391","28,093","12,356","22,977","6,591","19,726","1,058","9,514",8,"1,241",0,7,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,63,연신내,258,12,"25,123","1,571","45,977","9,653","110,377","18,696","132,615","31,227","76,090","32,885","50,832","31,869","47,505","34,566","49,222","35,172","45,581","38,986","42,225","39,592","42,080","48,048","45,198","56,068","45,039","72,239","43,294","120,138","28,474","103,283","22,180","57,122","21,420","51,825","14,043","43,528","2,319","18,830",2,842,1,3,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,64,불광,33,1,"8,452","1,075","17,338","5,393","42,217","9,796","51,414","29,712","28,780","26,624","21,859","21,563","20,775","20,794","21,543","20,940","21,376","21,498","20,206","21,500","20,947","24,569","21,170","26,798","23,894","32,763","27,038","50,489","14,412","40,513","10,877","23,153","9,234","19,212","5,222","15,852",942,"6,711",0,139,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,65,녹번,10,2,"8,767",582,"21,380","3,786","53,794","6,966","63,722","16,404","35,148","9,034","22,069","8,350","18,400","9,311","17,971","10,588","16,347","10,876","14,531","12,231","13,405","14,302","13,291","20,728","13,757","28,852","16,449","52,908","7,678","44,693","5,951","24,896","4,996","22,384","3,422","17,374",662,"6,795",0,21,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,66,홍제,34,1,"8,305","1,152","19,932","8,603","50,534","9,939","57,761","19,723","35,713","15,263","25,055","14,060","22,805","14,386","23,564","15,634","20,979","16,833","19,436","18,034","19,467","22,067","20,436","25,784","22,263","33,169","21,405","54,804","11,452","43,233","8,751","23,646","6,987","21,753","4,339","16,333",874,"7,071",1,2,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,67,무악재,17,1,"1,625",256,"4,508","2,459","11,867","2,570","13,635","5,320","8,251","2,883","5,494","3,116","5,179","3,094","5,026","3,306","4,543","3,534","4,101","3,910","3,888","4,712","4,492","5,707","5,204","8,061","5,786","13,747","2,456","11,206","1,862","6,525","1,457","5,697","1,015","4,624",271,"1,779",0,1,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,68,독립문,139,2,"4,934",782,"5,005","5,521","12,714","11,436","15,794","17,278","11,709","10,800","10,358","9,291","9,808","8,527","10,612","8,128","9,927","8,883","9,817","8,343","10,266","8,847","12,010","9,280","11,827","11,885","13,513","14,993","6,207","11,837","4,288","6,826","3,332","6,153","2,437","5,380",375,"1,980",0,"1,138",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,69,경복궁(정부서울청사),47,1,"2,275","1,574","4,741","11,678","11,374","33,969","16,841","84,281","15,170","42,517","12,879","26,724","14,417","26,534","16,838","26,751","19,856","27,540","22,803","23,544","29,022","21,023","35,322","19,740","52,002","19,625","83,177","22,895","32,636","15,052","25,273","8,196","23,042","7,427","10,861","6,257","1,718","2,299",1,66,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,70,안국,30,0,"1,505","1,366","2,819","16,807","5,266","67,105","7,083","77,716","6,726","46,703","7,763","28,140","11,402","30,023","16,253","27,795","17,275","28,578","21,814","24,308","29,587","20,128","37,921","16,805","76,158","15,431","86,199","14,447","33,944","7,393","25,053","4,252","19,976","3,617","10,275","2,824","1,469","1,233",0,15,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,71,종로3가,9,0,505,945,916,"5,266","1,405","13,368","1,914","38,970","3,084","39,245","4,558","26,199","6,839","20,286","8,853","19,274","9,588","17,860","11,044","17,335","14,102","14,228","15,881","11,920","25,718","10,631","45,343","9,663","28,591","4,617","14,840","1,942","14,846","1,811","7,676","1,118","1,332",687,3,55,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,72,을지로3가,7,0,563,801,892,"7,402","1,598","27,568","2,737","62,197","3,379","27,020","4,376","13,171","6,340","11,604","7,713","11,230","8,934","11,255","11,296","9,401","12,368","8,834","15,011","7,986","33,084","8,358","56,043","9,128","22,078","4,262","13,566","1,883","12,583","1,411","7,197",959,"1,144",551,0,42,1,1,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,73,충무로,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,3,0,13,0,3,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,74,동대입구,17,2,"1,400","1,141","2,248","11,338","4,822","12,421","6,368","40,339","5,331","20,220","4,466","11,537","5,212","10,126","6,349","9,445","7,194","8,810","8,113","8,031","10,422","6,548","14,786","6,916","30,129","7,227","27,666","8,753","12,744","6,012","8,181","3,449","9,667","3,909","7,144","3,149","1,150","1,241",2,141,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,75,약수,117,4,"5,540",875,"9,093","5,062","21,295","11,767","32,153","29,309","22,575","18,476","15,980","12,889","15,420","12,997","16,948","13,498","16,354","13,299","15,141","14,006","16,305","15,313","17,398","18,673","21,316","23,349","28,405","34,936","14,548","22,680","11,342","14,214","11,069","13,608","6,891","11,169","1,313","3,967",0,724,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,76,금호,33,8,"4,269",487,"8,584","2,476","21,576","4,281","28,746","8,190","18,151","6,467","12,234","6,337","10,396","6,350","10,661","7,135","9,954","8,294","8,895","8,476","8,888","10,444","8,622","11,913","9,191","17,636","9,739","27,538","6,314","18,642","4,995","12,185","4,005","10,368","2,739","8,856",511,"2,800",0,1,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,77,옥수,271,22,"2,725",958,"8,088","4,361","18,516","7,847","23,904","12,909","15,723","10,416","11,922","8,081","11,026","9,045","11,465","10,048","11,921","11,282","11,333","10,998","12,170","12,316","13,549","14,491","14,252","19,980","15,369","29,256","9,604","21,611","7,589","13,424","6,793","11,855","4,553","10,385","1,040","3,283",0,39,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,78,압구정,44,0,"2,488","1,906","6,495","20,898","12,621","39,481","18,018","116,615","16,121","139,283","19,677","62,990","25,552","48,549","29,868","42,756","32,578","45,746","38,608","40,450","46,229","34,305","56,079","34,941","78,665","38,734","115,415","41,517","83,882","23,303","64,992","11,261","48,586","8,710","27,695","6,732","2,951","2,241",5,499,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,79,신사,17,4,"2,359","1,441","4,900","18,639","8,323","37,899","14,067","96,332","11,845","122,905","15,202","61,076","20,192","42,591","23,760","41,630","26,929","44,427","33,846","41,203","41,278","37,051","50,892","35,101","77,776","36,970","119,790","44,892","81,306","24,129","53,864","9,698","59,630","7,839","32,704","5,884","3,525","2,519",1,71,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,80,잠원,1,0,798,522,"3,794","4,269","9,150","6,290","12,343","9,367","8,220","6,228","5,733","4,116","6,023","4,403","6,471","4,997","5,976","5,609","5,487","4,785","5,874","5,346","7,281","5,833","8,873","8,117","8,059","11,929","5,127","8,938","3,518","4,947","3,681","4,719","2,458","5,157",370,"1,310",1,3,1,2,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,81,고속터미널,97,1,"3,897","3,010","5,805","25,507","20,602","38,054","33,804","58,899","36,822","79,772","35,680","65,631","44,726","69,911","54,292","67,360","58,777","68,609","65,198","68,018","73,064","68,592","82,591","67,574","98,654","71,665","102,097","82,734","82,384","51,611","97,789","29,636","55,012","21,935","32,355","14,736","8,075","5,506",13,203,1,2,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,82,교대(법원.검찰청),2,0,978,649,"2,691","5,674","6,532","17,161","9,730","40,169","8,350","29,267","9,445","13,127","11,672","9,453","13,165","8,928","14,974","8,947","16,999","8,228","18,721","7,831","21,702","7,571","35,378","8,802","57,610","11,471","22,970","6,208","16,726","3,165","17,719","2,785","14,670","2,427","1,337",997,0,5,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,83,남부터미널(예술의전당),33,1,"2,451","1,170","7,358","21,326","22,271","50,594","32,162","132,902","25,629","72,164","23,964","41,873","28,575","31,997","30,823","33,484","32,899","36,890","33,823","35,339","37,682","34,796","46,486","35,300","78,551","39,506","119,808","47,679","54,178","30,410","35,928","18,326","35,709","13,911","20,950","9,823","3,276","4,261",1,31,1,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,84,양재(서초구청),53,0,"4,645","2,374","12,736","35,641","28,853","91,253","37,517","201,119","27,963","106,160","25,517","45,728","29,421","35,110","31,511","34,013","33,985","38,565","37,332","33,612","43,534","33,773","54,717","34,119","103,794","44,172","174,296","58,925","72,914","40,059","47,765","24,268","42,382","21,284","21,977","15,406","2,916","7,130",8,645,0,1,0,1,0,0,2021-09-03 10:03
Aug-21,3호선,85,매봉,7,2,"1,360",451,"6,054","7,882","12,806","20,866","16,049","58,849","11,854","35,828","9,403","12,631","9,702","10,450","10,516","10,376","11,011","10,573","12,578","9,084","14,375","10,080","17,063","10,283","32,357","13,291","57,119","19,026","19,908","13,263","12,394","7,061","13,417","5,958","6,496","5,439",918,"2,388",2,273,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,86,도곡,31,0,918,370,"3,021","4,242","7,015","10,586","8,725","18,081","5,894","13,602","4,449","6,149","4,774","4,950","5,510","5,342","5,667","5,890","5,890","5,025","7,099","4,795","9,254","4,843","12,295","6,505","15,630","8,776","7,807","7,230","4,812","3,896","4,247","3,556","3,395","2,844",487,"1,106",3,454,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,87,대치,11,0,"2,266",728,"8,996","7,423","18,181","18,325","18,435","25,418","11,691","18,456","9,710","12,096","10,385","11,136","13,565","13,562","13,929","16,066","12,211","14,088","14,615","14,564","15,860","17,184","23,764","22,163","24,905","24,271","15,356","18,244","10,896","9,355","16,232","8,563","27,662","7,256","1,126","2,994",0,5,1,1,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,88,학여울,3,0,574,276,"1,662","1,455","2,974","2,870","3,079","5,996","2,227","3,042","1,671","1,894","1,600","1,426","1,839","1,535","1,777","1,562","1,763","1,727","2,344","1,854","2,760","2,004","3,775","2,699","5,184","3,554","2,380","2,917","1,421","1,645","1,260","1,379",979,"1,319",119,504,0,1,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,89,대청,61,0,"2,778","1,024","8,935","6,086","21,754","11,467","25,238","23,781","15,707","10,823","12,478","7,646","11,271","6,978","10,988","8,804","11,685","9,327","12,112","9,152","14,051","10,811","15,592","11,764","18,938","15,049","22,365","22,907","8,947","18,896","5,923","11,639","4,675","10,467","3,288","10,750",539,"3,691",0,38,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,90,일원,6,1,"1,859","1,391","6,668","10,504","17,208","25,816","17,401","22,052","12,698","15,676","12,558","12,859","13,231","9,778","13,324","11,470","12,084","12,981","12,935","10,587","16,344","10,033","20,802","8,711","29,481","11,343","14,460","16,073","7,494","13,320","4,788","8,290","3,401","7,934","2,841","7,838",533,"2,054",1,27,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,91,수서,336,6,"4,169","1,802","10,215","13,928","28,174","28,120","34,552","44,725","22,557","26,202","20,817","19,070","18,084","15,538","22,404","18,618","20,161","17,569","17,543","18,170","24,260","21,241","28,403","22,467","34,802","27,846","42,302","41,480","19,759","30,488","19,284","18,667","11,380","15,258","10,553","14,718","2,129","3,526",0,345,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,92,가락시장,15,3,"2,168",538,"5,747","5,273","15,722","10,846","18,376","24,570","12,525","13,578","11,302","9,727","11,304","9,330","11,420","9,870","10,845","9,787","10,712","9,963","11,717","11,394","12,453","11,874","17,096","13,399","24,165","18,893","9,920","13,666","6,961","8,850","6,118","7,135","3,334","6,121",487,"2,282",1,627,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,93,경찰병원,10,1,"2,138",165,"6,272","2,956","18,226","8,019","20,699","25,939","12,157","12,078","9,333","7,743","8,249","5,690","7,566","6,805","7,846","7,479","7,880","6,850","8,270","6,954","8,339","7,854","12,824","11,439","18,007","18,204","6,088","13,681","4,576","8,829","4,101","6,823","2,459","6,023",400,"2,155",1,498,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,3호선,94,오금,6,1,"3,623",11,"6,579","2,282","20,645","4,501","24,504","11,728","12,578","4,870","7,065","3,879","6,278","3,860","7,064","4,752","6,365","4,938","5,385","4,599","5,183","6,543","6,275","7,354","8,060","11,103","9,915","18,877","4,018","13,668","2,734","8,288","2,296","7,325","1,770","7,601",288,"2,735",0,611,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,100,수유(강북구청),87,5,"18,468","2,672","40,608","11,876","93,860","19,622","108,814","49,427","65,437","33,413","45,159","27,382","41,839","28,747","42,885","30,480","41,492","34,316","39,723","37,465","38,898","42,942","41,759","54,454","46,200","68,892","51,282","109,213","29,634","93,666","23,210","53,910","21,564","48,651","14,108","38,549","3,340","18,441",1,302,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,101,미아(서울사이버대학),41,5,"9,860","1,141","18,242","4,591","40,908","11,321","46,761","26,494","29,463","15,131","21,084","12,825","18,471","12,911","18,712","13,651","18,278","14,515","17,159","15,645","16,979","20,433","18,687","23,033","18,916","28,771","21,734","42,210","12,671","34,246","8,069","21,505","6,757","18,928","4,457","15,110","1,052","6,869",1,31,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,102,미아사거리,57,3,"13,217","1,630","32,046","7,781","78,586","14,509","89,728","28,961","52,717","29,190","36,583","25,607","33,609","25,388","34,038","27,490","33,524","28,639","32,037","31,904","33,004","38,044","36,060","44,804","34,964","56,655","36,018","92,212","25,539","68,918","25,419","39,251","15,119","35,793","9,287","27,329","1,909","10,334",0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,103,길음,12,1,"8,545","1,777","25,460","7,375","65,891","10,525","71,699","21,398","38,682","17,902","25,714","13,699","22,687","14,724","23,522","16,717","22,812","18,302","20,109","19,180","19,964","22,182","22,048","29,014","23,168","39,704","22,957","69,493","13,633","53,023","10,314","30,527","7,855","27,026","7,685","22,649","1,553","8,533",0,1,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,104,성신여대입구(돈암),32,5,"5,071","1,421","15,464","5,640","38,447","14,740","46,719","27,192","29,579","24,041","22,615","19,062","22,623","19,070","25,622","23,319","24,964","25,266","24,259","24,688","25,578","25,589","29,018","30,719","33,270","38,305","37,056","57,272","23,368","42,505","21,278","24,562","23,224","22,481","16,409","19,373","2,977","7,434",0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,105,한성대입구(삼선교),148,21,"6,073","1,039","10,547","6,189","25,138","13,831","33,167","22,692","21,995","19,461","16,143","13,786","16,005","13,285","18,139","14,689","17,660","15,429","16,507","14,885","17,546","16,506","22,975","18,539","23,849","23,106","24,613","34,652","13,517","25,723","10,642","15,447","9,728","14,656","7,235","12,974","1,578","5,576",1,"1,201",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,106,혜화,17,0,"2,503","2,534","6,279","20,727","15,596","42,817","18,902","99,262","21,437","67,331","26,508","45,194","29,712","39,047","29,560","49,560","30,380","64,873","39,397","56,954","52,938","41,652","63,504","38,069","83,703","42,365","98,956","50,984","50,813","32,501","49,782","13,381","66,936","14,034","38,513","11,533","6,064","4,785",1,197,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,107,동대문,113,26,"3,860","2,772","2,417","12,053","4,090","30,969","5,946","63,697","10,246","55,495","14,037","46,359","20,514","41,603","24,516","32,414","26,856","31,428","33,005","30,701","40,071","24,804","50,247","17,719","66,705","11,955","55,854","8,391","24,421","9,716","15,562","7,171","18,668","4,565","8,092","2,982","1,734","3,215",5,29,0,2,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,108,동대문역사문화공원(DDP),171,3,"4,983","1,297","3,187","11,110","5,486","23,375","6,744","57,375","6,708","30,857","7,489","20,357","10,340","18,978","13,093","18,195","14,525","17,535","18,161","17,197","23,326","14,029","27,327","12,208","43,098","12,750","61,177","13,086","30,487","17,477","21,532","8,005","20,925","6,116","13,593","4,169","3,211","3,077",2,243,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,109,충무로,38,1,"2,311","2,648","3,548","17,226","7,185","49,000","10,771","151,511","11,548","81,152","11,916","37,803","15,871","31,007","18,528","29,126","22,699","28,622","27,650","24,196","31,786","21,417","40,675","19,813","72,649","20,687","128,862","22,803","55,731","13,778","36,782","7,502","32,730","7,299","17,689","5,796","3,723","2,652",1,182,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,110,명동,10,0,757,730,"1,944","11,836","3,392","33,934","4,791","90,174","6,013","48,658","7,257","28,220","11,300","25,835","14,830","24,855","17,946","24,756","20,880","21,644","25,422","20,005","32,154","17,372","48,464","16,037","89,274","15,109","36,417","8,658","29,410","4,446","22,732","3,392","9,361","2,311","1,206",860,1,88,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,111,회현(남대문시장),23,1,"1,421",705,"2,756","15,980","3,858","42,738","6,611","104,649","7,750","75,137","11,578","56,343","19,102","47,533","26,251","36,562","29,506","33,303","35,096","29,608","41,422","24,255","54,211","17,701","73,612","13,279","96,702","11,249","36,037","6,389","35,739","3,885","13,319","3,989","6,111","2,400","1,411","1,099",0,120,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,112,서울역,145,1,"3,316",554,"4,817","8,621","9,689","24,739","11,882","60,097","8,958","30,819","7,388","16,153","8,972","14,992","10,049","17,138","9,405","15,790","10,011","15,346","10,753","16,565","12,310","17,395","29,625","20,438","46,197","23,193","16,116","15,881","9,830","10,605","8,605","9,653","5,017","7,906","1,311","3,029",0,600,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,113,숙대입구(갈월),8,0,"2,541",573,"6,752","6,096","13,702","17,833","20,863","42,053","14,515","23,741","11,698","12,909","12,715","12,314","13,646","13,254","13,351","13,720","14,573","13,336","15,627","13,682","21,169","15,044","26,903","18,711","41,615","26,072","18,780","16,974","12,964","10,706","13,174","10,393","8,185","7,784","1,448","2,948",1,10,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,114,삼각지,3,1,617,166,"1,977","2,737","5,181","9,545","8,347","21,135","5,315","8,718","3,817","6,137","3,775","6,011","4,484","6,511","5,040","5,980","5,012","5,468","5,681","5,520","6,649","6,063","11,277","7,696","20,106","11,650","7,848","7,972","5,716","4,371","6,188","3,969","3,519","3,300",677,"1,400",1,128,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,115,신용산,3,0,"1,251",919,"3,499","8,929","8,962","26,685","13,926","70,571","10,394","50,357","8,650","23,366","11,688","18,824","12,890","18,936","14,817","19,469","15,325","16,909","18,652","17,338","24,026","17,368","42,580","19,153","71,614","24,402","34,719","15,443","23,106","8,133","19,642","6,594","10,750","4,911","2,049","1,468",0,2,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,116,이촌(국립중앙박물관),25,0,975,656,"4,176","6,339","10,021","12,371","13,165","22,985","9,077","14,722","6,855","10,716","7,283","10,199","9,535","11,483","9,457","11,867","10,078","11,045","12,170","10,678","15,583","10,477","19,232","12,439","21,634","17,456","9,062","11,904","6,717","6,855","6,378","5,896","3,234","4,804",633,"1,646",1,8,1,0,0,0,0,0,2021-09-03 10:03
Aug-21,4호선,117,동작(현충원),12,0,407,444,"1,343","2,942","3,284","3,485","3,942","4,915","2,770","3,292","2,396","2,693","2,613","2,381","2,411","2,128","2,260","2,226","2,517","2,529","2,816","2,857","3,620","3,186","4,778","3,790","5,240","5,300","3,092","3,869","2,688","2,400","2,594","1,884","1,707","1,445",397,740,2,140,0,0,0,0,0,0,2021-09-03 10:03
